id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
646,Spartan Consulting,26/07/2019,photo,NO_CTA,photo,54.11,38045,1,0,0,0,0,No,0,No person,Informing,1,4,3,8,no CTA at all,Neutral,Economy,0,Professional,0,0,1,Blue
647,Ted Hansen Campaign,04/03/2019,photo,NO_CTA,photo,93.66,38040,157,9,13,0,0,Yes,1,Man,Persuading,1,1,7,3,no CTA at all,Neutral,Economy,0,Professional,0,0,0,Blue
648,Grece Foundation,22/01/2019,photo,NO_CTA,photo,110.02,38029,133,2,18,0,0,No,0,No person,Informing,2,1,5,8,no CTA at all,Positive,Economy,0,Professional,0,0,0,Blue
649,Ted Hansen Campaign,30/10/2018,photo,NO_CTA,photo,145.99,37999,129,6,21,0,0,No,0,No person,Persuading,2,1,7,3,no CTA at all,Positive,Economy,0,Professional,0,0,0,Yellow
650,Great Rants,08/04/2019,video,learn_more,video,268.28,37968,256,22,53,1060,656,Yes,1,Man,Persuading,5,1,7,3,CTA in creative,Positive,Social issues,1,Professional,0,0,1,Blue
651,Heschsoft,06/06/2019,photo,NO_CTA,photo,53.15,37859,4,0,0,0,0,Yes,1,Woman,Persuading,5,1,7,3,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
652,Great Rants,12/04/2019,link,learn_more,share,249.44,37746,90,24,34,0,0,No,0,No person,Informing,2,1,5,8,no CTA at all,Positive,Social issues,1,Professional,0,0,1,Blue
653,Cargill Entertainment,20/04/2018,video,NO_CTA,video,132.14,37736,2,0,0,272,65,No,0,No person,Engaging,8,1,6,3,CTA in creative,Positive,Economy,0,Professional,0,0,1,Blue
654,Grece Foundation,13/06/2018,photo,NO_CTA,photo,148.24,37715,6,0,0,0,0,No,0,No person,Persuading,5,3,7,4,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,0,0,1,Yellow
655,Great Rants,12/04/2019,link,learn_more,share,246.53,37618,97,25,32,0,0,No,0,No person,Informing,2,1,5,8,CTA in creative,Positive,Social issues,1,Professional,0,0,1,Blue
656,NY Climate Collective,09/05/2019,photo,NO_CTA,photo,73.1,37534,17,2,0,0,0,No,0,No person,Engaging,9,2,4,3,CTA in both,Positive,International Politics,1,Professional,0,0,1,Blue
657,Grece Foundation,19/02/2019,photo,NO_CTA,photo,76.01,37526,452,70,181,0,0,No,0,No person,Informing,2,1,4,9,CTA in text,Neutral,Finance,0,Professional,0,0,0,Yellow
658,NY Climate Collective,14/06/2019,photo,NO_CTA,photo,37.89,37463,63,1,4,0,0,No,0,No person,Informing,2,5,2,7,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Magenta
659,Great Rants,12/04/2019,link,learn_more,share,246.11,37364,93,25,27,0,0,No,0,No person,Informing,2,1,4,8,CTA in creative,Positive,Social issues,1,Professional,0,0,1,Blue
660,Cargill Entertainment,31/12/2017,video,NO_CTA,video,84.24,37310,134,5,13,1439,663,No,0,No person,Entertaining,3,6,1,1,no CTA at all,Positive,No topic,0,Professional,0,0,0,Black
661,Grece Foundation,19/09/2018,video,NO_CTA,video,206.75,37306,59,3,1,3838,3403,No,0,No person,Informing,2,4,2,8,no CTA at all,Positive,Economy,0,Professional,0,0,0,White
662,Sound Green Toronto,17/06/2019,video,subscribe,video,350.65,37256,0,0,0,438,303,Yes,5,Both,Persuading,6,8,8,2,CTA in creative,Positive,Other,1,Professional,0,0,0,Black
663,Spartan Consulting,27/05/2019,status,NO_CTA,album,75.34,37188,7,7,0,0,0,No,0,No person,Informing,4,1,8,8,CTA in text,Neutral,International Politics,1,Professional,0,0,1,Blue
664,Spartan Consulting,04/01/2019,photo,NO_CTA,photo,103.38,37174,60,4,7,0,0,No,0,No person,Informing,1,1,2,9,no CTA at all,Positive,Finance,0,Professional,0,0,1,Blue
665,Grece Foundation,24/08/2018,link,NO_CTA,share,92.34,37168,7,0,3,0,0,Yes,1,Man,Informing,2,1,4,7,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Black
666,NY Climate Collective,17/09/2018,photo,NO_CTA,photo,74.06,36974,233,69,16,0,0,Yes,5,Both,Persuading,2,2,8,5,no CTA at all,Neutral,Finance,0,Professional,1,0,0,Magenta
669,Narisoft,28/02/2019,photo,NO_CTA,photo,108.05,36790,621,119,115,0,0,Yes,1,Man,Persuading,4,2,7,3,no CTA at all,Negative,"Innovation, science and digitalization",0,Professional,0,0,0,Yellow
673,Spartan Consulting,22/11/2018,photo,NO_CTA,photo,142.25,36397,78,4,10,0,0,Yes,1,Man,Informing,1,1,2,9,CTA in text,Neutral,Finance,0,Professional,0,1,0,Blue
677,Liberty House,21/02/2019,photo,NO_CTA,photo,162.86,36200,143,18,60,0,0,No,0,No person,Persuading,6,3,7,2,CTA in text,Neutral,Other,0,Professional,0,0,0,Orange
681,Narisoft,03/08/2018,photo,NO_CTA,photo,47.49,36105,3,3,0,0,0,No,0,No person,Engaging,8,6,1,2,CTA in both,Neutral,Other,0,Professional,0,0,0,Other
690,Spartan Consulting,13/11/2018,photo,NO_CTA,photo,103.12,35560,60,20,8,0,0,No,0,No person,Informing,1,1,1,9,no CTA at all,Neutral,Finance,0,Professional,0,1,0,Blue
698,Narisoft,14/05/2018,photo,NO_CTA,photo,183.82,34746,1585,164,701,0,0,No,0,No person,Entertaining,6,8,1,3,CTA in both,Neutral,Health and lifestyle,0,Professional,0,0,0,Yellow
700,Narisoft,25/04/2019,photo,NO_CTA,photo,111.7,34700,458,175,62,0,0,Yes,1,Man,Engaging,8,1,2,6,CTA in both,Neutral,International Politics,0,Professional,0,0,0,Blue
702,Loto Paper Laundry,16/07/2019,video,NO_CTA,video,90.34,34658,200,102,38,8281,2858,Yes,5,Both,Persuading,2,1,7,5,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,White
727,Narisoft,07/03/2018,video,NO_CTA,video,190.51,33623,729,128,667,10015,9347,No,0,No person,Entertaining,2,9,4,1,CTA in text,Neutral,Finance,0,Professional,0,0,0,Yellow
730,Narisoft,19/07/2018,photo,NO_CTA,photo,145.78,33566,347,73,221,0,0,Yes,1,Man,Persuading,5,3,7,5,CTA in text,Negative,Health and lifestyle,0,Professional,0,0,0,Yellow
733,Spartan Consulting,23/01/2019,photo,NO_CTA,photo,102.7,33504,65,2,14,0,0,No,0,No person,Informing,1,1,1,9,no CTA at all,Neutral,International Politics,0,Professional,0,1,0,Blue
737,Narisoft,23/02/2019,photo,NO_CTA,photo,91.67,33339,183,62,15,0,0,Yes,1,Man,Engaging,8,3,1,3,CTA in creative,Neutral,Health and lifestyle,0,Professional,0,0,0,Yellow
740,Pierce Associates,02/09/2019,video,NO_CTA,video,162.1,33227,103,63,5,6658,2417,Yes,2,Both,Persuading,1,1,9,5,no CTA at all,Positive,Other,1,Professional,0,0,0,Blue
755,Spartan Consulting,20/02/2019,status,NO_CTA,album,71.17,32556,41,0,1,0,0,Yes,5,Man,Informing,2,1,1,9,CTA in text,Neutral,Finance,0,Professional,0,0,0,Blue
768,Spartan Consulting,13/08/2018,photo,NO_CTA,photo,148.24,31836,135,14,14,0,0,No,0,No person,Engaging,9,1,5,7,CTA in text,Neutral,Finance,0,Professional,0,1,0,Blue
774,Spartan Consulting,13/06/2019,photo,NO_CTA,photo,91.37,31388,294,22,6,0,0,No,0,No person,Engaging,9,3,1,4,CTA in both,Neutral,International Politics,0,Professional,0,0,0,Blue
790,Spartan Consulting,03/07/2019,photo,NO_CTA,photo,59.49,30670,508,196,37,0,0,Yes,2,Woman,Informing,5,1,1,8,no CTA at all,Neutral,International Politics,0,Professional,0,1,0,Blue
791,Narisoft,15/03/2019,photo,NO_CTA,photo,118.45,30659,731,168,165,0,0,No,0,No person,Informing,1,4,2,7,no CTA at all,Neutral,Other,0,Professional,0,0,0,Yellow
795,Spartan Consulting,27/02/2019,photo,NO_CTA,photo,126.45,30516,52,0,1,0,0,No,0,No person,Informing,2,1,1,9,no CTA at all,Neutral,Finance,0,Professional,0,1,0,Blue
796,Spartan Consulting,12/07/2019,video,NO_CTA,video,155.6,30439,43,42,5,4713,1967,Yes,1,Man,Persuading,3,1,7,5,no CTA at all,Positive,Environment,0,Professional,0,0,0,Green
824,Liberty House,30/01/2019,photo,NO_CTA,photo,85.41,29401,26,10,4,0,0,Yes,2,Man,Persuading,2,1,6,2,no CTA at all,Neutral,Other,0,Professional,0,0,0,Orange
828,Narisoft,24/05/2018,photo,NO_CTA,photo,189.75,29300,1986,95,607,0,0,No,0,No person,Persuading,4,2,7,1,CTA in text,Positive,Health and lifestyle,0,Professional,0,0,0,White
830,Spartan Consulting,27/11/2018,photo,NO_CTA,photo,186.07,29259,160,20,12,0,0,Yes,5,Both,Informing,1,1,1,9,no CTA at all,Neutral,International Politics,1,Professional,0,1,0,Blue
831,Narisoft,10/09/2018,photo,NO_CTA,photo,96.07,29222,265,58,145,0,0,Yes,2,Both,Persuading,4,4,7,5,CTA in text,Neutral,Health and lifestyle,0,Professional,0,0,0,Yellow
838,Spartan Consulting,10/12/2018,photo,NO_CTA,photo,84.35,28925,94,9,10,0,0,Yes,1,Woman,Informing,1,1,1,9,no CTA at all,Neutral,No topic,0,Professional,0,0,0,Blue
843,Narisoft,10/08/2018,photo,NO_CTA,photo,94.83,28856,308,21,132,0,0,No,0,No person,Persuading,2,1,7,2,no CTA at all,Positive,Finance,0,Professional,0,0,0,Yellow
847,Pierce Associates,19/07/2019,video,NO_CTA,video,132.06,28752,136,95,13,3018,1178,Yes,5,Both,Persuading,6,1,9,4,no CTA at all,Positive,Other,1,Professional,1,0,0,White
853,Liberty House,23/09/2018,photo,NO_CTA,photo,112.62,28547,104,24,11,0,0,Yes,1,Man,Persuading,2,1,8,3,no CTA at all,Neutral,Infrastructure,0,Professional,0,0,0,Orange
854,Narisoft,02/08/2019,photo,NO_CTA,photo,38.68,28525,71,5,16,0,0,Yes,3,Both,Informing,1,2,4,7,no CTA at all,Positive,Finance,0,Professional,0,0,0,Yellow
862,Loto Paper Laundry,25/06/2019,photo,NO_CTA,photo,62.41,28223,46,4,6,0,0,No,0,No person,Informing,1,1,4,8,no CTA at all,Neutral,Health and lifestyle,0,Professional,0,0,0,Orange
863,Liberty House,20/03/2019,video,NO_CTA,video,66.33,28221,12,9,5,1310,433,Yes,5,Both,Informing,7,1,3,9,CTA in both,Neutral,Education,0,Professional,0,0,0,White
865,Spartan Consulting,17/01/2019,photo,NO_CTA,photo,112.82,28068,65,7,14,0,0,No,0,No person,Informing,1,1,1,9,no CTA at all,Neutral,Other,1,Professional,0,1,0,Blue
868,Narisoft,12/06/2019,photo,NO_CTA,photo,46.86,27963,328,59,7,0,0,No,0,No person,Engaging,9,2,1,6,CTA in both,Neutral,Environment,0,Professional,0,0,0,Yellow
883,Capitol Hill United,13/05/2019,link,apply_now,share,225.9,27589,64,0,2,0,0,Yes,3,Both,Persuading,6,1,8,2,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
885,Spartan Consulting,06/03/2019,photo,NO_CTA,photo,70.8,27510,31,1,1,0,0,No,0,No person,Informing,1,1,1,9,no CTA at all,Neutral,Finance,0,Professional,0,1,0,Blue
887,Narisoft,03/10/2018,photo,NO_CTA,photo,73.3,27459,62,18,10,0,0,Yes,1,Woman,Engaging,9,1,1,1,CTA in both,Positive,Culture,0,Professional,0,0,0,White
904,Pierce Associates,08/09/2019,photo,NO_CTA,photo,68.7,27146,8,2,0,0,0,Yes,1,Man,Persuading,3,1,7,4,CTA in text,Positive,No topic,1,Professional,0,0,0,Blue
920,Liberty House,08/05/2019,photo,NO_CTA,photo,68.89,26655,41,24,2,0,0,No,0,No person,Informing,4,1,3,9,CTA in text,Neutral,Education,0,Professional,1,0,0,Blue
926,Narisoft,21/09/2018,photo,NO_CTA,photo,141.31,26564,136,10,14,0,0,No,0,No person,Entertaining,5,7,1,3,CTA in text,Neutral,No topic,0,Professional,0,0,0,Yellow
942,Narisoft,29/08/2019,photo,NO_CTA,photo,46.13,25807,88,10,0,0,0,Yes,1,Man,Engaging,9,3,1,3,CTA in both,Neutral,Other,0,Professional,0,0,0,Yellow
947,Town Of Scottsdale,28/06/2018,video,NO_CTA,video,100,25701,4,1,0,4854,2193,Yes,2,Woman,Informing,2,1,3,7,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Yellow
977,Spartan Consulting,06/02/2019,photo,NO_CTA,photo,76.53,24472,422,71,6,0,0,No,0,No person,Engaging,9,1,1,6,CTA in both,Neutral,Finance,0,Professional,0,1,0,Blue
983,Liberty House,07/02/2019,photo,NO_CTA,photo,70.21,24186,84,6,14,0,0,Yes,1,Woman,Persuading,1,1,7,4,no CTA at all,Neutral,Education,0,Professional,0,0,0,Blue
993,Narisoft,04/07/2019,photo,NO_CTA,photo,42.28,23762,1087,239,48,0,0,Yes,1,Woman,Engaging,9,1,1,3,CTA in both,Neutral,International Politics,0,Professional,0,0,0,Black
1011,Narisoft,06/09/2019,photo,NO_CTA,photo,44.28,23344,65,40,3,0,0,Yes,1,Man,Informing,3,1,4,7,CTA in text,Neutral,Finance,0,Professional,0,0,0,Yellow
1023,Narisoft,08/08/2018,photo,NO_CTA,photo,80,23075,265,29,24,0,0,Yes,4,Both,Engaging,9,1,1,3,CTA in both,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Yellow
1024,Narisoft,27/08/2018,photo,NO_CTA,photo,59.52,23069,123,27,16,0,0,Yes,1,Man,Engaging,9,2,1,2,CTA in both,Neutral,Finance,0,Professional,0,0,0,Yellow
1026,Liberty House,30/01/2019,photo,NO_CTA,photo,91.26,23045,73,17,26,0,0,No,0,No person,Informing,2,1,1,6,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Yellow
1050,Loto Paper Laundry,01/02/2019,share,NO_CTA,link,100,22421,170,45,17,0,0,Yes,1,Man,Informing,2,1,3,8,CTA in text,Neutral,Health and lifestyle,0,Professional,0,0,0,Black
1097,Capitol Hill United,24/06/2019,photo,NO_CTA,photo,239.7,21402,5,0,2,0,0,No,0,No person,Engaging,8,1,1,4,CTA in both,Neutral,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
1118,Liberty House,07/08/2019,photo,NO_CTA,photo,40.4,20972,8,2,3,0,0,Yes,1,Man,Persuading,2,1,7,5,no CTA at all,Neutral,Finance,0,Professional,0,0,0,Orange
1122,Capitol Hill United,08/05/2019,link,sign_up,share,152.74,20891,30,28,7,0,0,Yes,2,Both,Informing,7,1,2,8,CTA in creative,Neutral,Economy,0,Professional,0,0,0,Blue
1127,Loto Paper Laundry,22/07/2019,photo,NO_CTA,photo,59.78,20821,32,14,4,0,0,Yes,1,Man,Persuading,1,1,7,4,no CTA at all,Neutral,Health and lifestyle,0,Professional,0,0,0,White
1155,Liberty House,13/11/2018,video,NO_CTA,video,73.43,20000,6,2,0,681,178,Yes,3,Man,Persuading,1,1,8,5,CTA in text,Neutral,Environment,0,Professional,0,0,0,Green
1161,Loto Paper Laundry,06/07/2019,video,NO_CTA,video,67.67,19896,82,18,17,4487,1087,Yes,1,Man,Persuading,1,1,9,3,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,White
1204,Loto Paper Laundry,11/04/2019,video,NO_CTA,video,47.19,18916,23,14,3,2219,682,Yes,5,Both,Persuading,2,1,9,5,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Black
1226,Liberty House,08/02/2019,photo,NO_CTA,photo,57,18542,55,18,4,0,0,No,0,No person,Persuading,2,6,7,4,no CTA at all,Negative,No topic,0,Professional,0,0,0,Orange
1238,Liberty House,04/12/2018,photo,NO_CTA,photo,70.5,18184,102,14,45,0,0,No,0,No person,Persuading,1,1,7,3,no CTA at all,Negative,Other,0,Professional,0,0,0,Orange
1279,Liberty House,19/12/2018,video,NO_CTA,video,56.69,17074,7,0,2,807,233,Yes,3,Both,Informing,2,1,7,8,CTA in text,Neutral,Environment,0,Professional,0,0,0,Green
1284,Loto Paper Laundry,10/05/2019,video,NO_CTA,video,67.2,16979,22,4,9,3673,2342,Yes,2,Man,Informing,2,1,4,8,CTA in both,Neutral,Health and lifestyle,0,Professional,1,0,0,Blue
1318,Loto Paper Laundry,24/07/2019,video,NO_CTA,video,54.34,16016,49,11,10,3815,1230,Yes,1,Man,Persuading,3,1,8,2,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Green
1319,Pierce Associates,15/03/2019,video,NO_CTA,video,75.68,16012,22,20,8,2291,1958,No,0,No person,Persuading,2,3,8,7,CTA in text,Neutral,Finance,0,Professional,0,0,0,Grey
1372,Liberty House,24/01/2019,photo,NO_CTA,photo,35.14,14859,12,3,1,0,0,Yes,1,Man,Informing,1,1,2,7,no CTA at all,Positive,Other,0,Professional,0,0,0,Black
1384,Liberty House,26/03/2019,photo,NO_CTA,photo,104.27,14640,32,17,7,0,0,Yes,2,Woman,Persuading,4,1,7,2,CTA in text,Positive,Education,0,Professional,1,0,0,Other
1463,Loto Paper Laundry,07/12/2018,photo,NO_CTA,photo,72.33,13187,201,45,4,0,0,Yes,1,Man,Informing,1,1,2,5,no CTA at all,Positive,No topic,0,Professional,0,0,0,Black
1464,Loto Paper Laundry,11/03/2019,share,learn_more,link,64,13183,34,37,9,0,0,Yes,3,Both,Persuading,1,1,7,4,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,White
1494,Pierce Associates,09/09/2019,video,NO_CTA,video,83.83,12644,17,4,1,2888,935,Yes,5,Both,Persuading,2,1,9,4,no CTA at all,Positive,No topic,1,Professional,1,0,0,Green
1542,Loto Paper Laundry,07/11/2018,photo,NO_CTA,photo,92.47,11863,609,91,50,0,0,Yes,1,Man,Engaging,8,1,6,4,CTA in text,Positive,International Politics,1,Professional,0,0,0,Blue
1746,Town Of Scottsdale,05/03/2019,video,NO_CTA,video,16.42,9255,0,0,0,106,36,Yes,5,Both,Persuading,1,2,8,7,no CTA at all,Neutral,Finance,1,Professional,0,0,0,Black
1809,Town Of Scottsdale,16/08/2018,video,NO_CTA,video,50,8434,9,2,4,1149,421,Yes,5,Both,Persuading,2,1,9,8,no CTA at all,Positive,"Innovation, science and digitalization",1,Professional,0,0,0,Black
1884,New Belgium Party,06/04/2018,photo,NO_CTA,photo,52.76,7621,12,2,1,0,0,Yes,2,Both,Engaging,9,1,2,4,no CTA at all,Neutral,No topic,1,Professional,0,0,0,Blue
1927,Pierce Associates,29/08/2019,video,NO_CTA,video,39.09,7190,11,0,0,926,214,Yes,5,Both,Engaging,9,2,7,4,CTA in text,Positive,No topic,1,Professional,1,0,0,Blue
2333,Pierce Associates,11/09/2019,photo,NO_CTA,photo,14.96,4687,6,1,0,0,0,Yes,1,Woman,Persuading,3,5,7,4,no CTA at all,Neutral,Infrastructure,1,Professional,1,0,0,Grey
2457,The Taylor Project,28/09/2017,share,learn_more,link,30,4166,9,17,0,0,0,Yes,1,Man,Engaging,9,1,3,5,CTA in both,Positive,No topic,0,Professional,0,0,0,White
2639,New Belgium Party,10/04/2018,photo,NO_CTA,photo,39.88,3401,26,5,6,0,0,Yes,1,Woman,Persuading,2,1,8,3,no CTA at all,Neutral,Education,1,Professional,0,0,0,Orange
2686,New Belgium Party,12/04/2018,photo,NO_CTA,photo,35.79,3273,14,3,3,0,0,Yes,1,Woman,Persuading,2,1,7,3,no CTA at all,Neutral,Security,1,Professional,0,0,0,Orange
3119,New Belgium Party,14/04/2018,photo,NO_CTA,photo,17.5,2182,7,1,2,0,0,Yes,1,Woman,Persuading,2,1,7,3,no CTA at all,Neutral,Education,1,Professional,0,0,0,Orange
3303,Pierce Associates,22/10/2018,video,NO_CTA,video,11.97,1875,21,10,5,420,218,Yes,5,Both,Persuading,3,1,10,3,no CTA at all,Positive,No topic,1,Professional,1,0,0,Black
3634,New Belgium Party,08/04/2018,photo,NO_CTA,photo,10.92,1476,29,0,8,0,0,Yes,2,Both,Persuading,1,1,7,4,no CTA at all,Positive,Environment,1,Professional,0,0,0,Orange
