id,Ad.Account.Anonymised,Promoted.post.created.date,Ad.creative.object.type,Ad.call_to_action.type,Promoted.post.type,Cost,Impressions,Post.reactions,Post.comments,Post.shares,Ten.second.video.views,X30.second.video.views,Person.,How.many.different.persons.are.visible.,What.about.the.person.s...gender.,Which.category.fits.best.for.this.creative.,How.engaging.is.the.content.,How.entertaining.is.the.content.,How.persuading.is.the.content.,How.informative.is.the.content.,CTA.present.,Sentiment,Topic,GOTV.,Generator..User.generated.or.professional.content.,Use.of.hashtag,Use.of.slogan.or.motto,Direct.reference.to.context,Dominating.color.
382,Great Rants,23/03/2019,photo,NO_CTA,photo,161.53,57586,43,26,7,0,0,Yes,1,Woman,Persuading,5,1,6,2,no CTA at all,Positive,Social issues,1,Professional,1,0,0,Red
383,NY Climate Collective,25/01/2018,link,learn_more,share,588.08,57569,107,15,7,0,0,Yes,2,Both,Engaging,8,1,3,3,CTA in creative,Positive,Finance,0,Professional,0,0,0,Magenta
384,NY Climate Collective,14/05/2019,video,NO_CTA,video,176.65,57440,84,85,8,3251,845,Yes,1,Man,Persuading,1,1,7,5,no CTA at all,Positive,International Politics,1,Professional,1,0,0,Blue
385,Cargill Entertainment,11/06/2018,video,NO_CTA,video,207.06,57305,26,8,2,2253,656,Yes,1,Man,Engaging,8,6,3,2,CTA in text,Positive,"Innovation, science and digitalization",0,Professional,1,0,0,Blue
386,Cargill Entertainment,29/08/2019,video,NO_CTA,video,184.27,57251,109,47,12,7881,1894,Yes,1,Man,Persuading,1,1,8,5,no CTA at all,Positive,"Innovation, science and digitalization",0,Professional,0,0,0,Blue
387,Grece Foundation,01/04/2019,link,subscribe,share,148.34,57200,0,0,1,0,0,No,0,No person,Engaging,7,1,2,2,CTA in creative,Neutral,No topic,0,Professional,0,0,0,Blue
388,Liberty House,07/03/2019,photo,NO_CTA,photo,158.27,57178,79,10,22,0,0,No,0,No person,Persuading,2,1,5,3,no CTA at all,Positive,Health and lifestyle,0,Professional,0,0,0,Green
389,Great Rants,21/05/2019,video,NO_CTA,video,444.91,57115,75,57,4,12012,12012,Yes,5,Both,Persuading,3,1,7,4,no CTA at all,Positive,No topic,1,Professional,0,0,1,Red
392,Grece Foundation,19/11/2018,link,NO_CTA,share,177.85,56895,38,1,2,0,0,Yes,1,Man,Persuading,2,2,7,5,no CTA at all,Positive,Economy,0,Professional,0,0,0,Black
393,Grece Foundation,27/06/2019,photo,NO_CTA,photo,55.03,56825,155,1,3,0,0,No,0,No person,Persuading,3,3,7,5,CTA in text,Positive,Education,0,Professional,0,0,0,Blue
394,Grece Foundation,13/02/2019,photo,NO_CTA,photo,156.57,56781,246,27,42,0,0,No,0,No person,Entertaining,3,8,3,6,CTA in text,Negative,Other,0,Professional,0,0,0,Grey
395,Heschsoft,10/04/2019,video,NO_CTA,video,81.61,56422,14,0,0,671,148,Yes,2,Man,Informing,4,1,6,8,no CTA at all,Positive,Security,0,Professional,1,0,0,Black
396,Heschsoft,17/05/2019,video,NO_CTA,video,86,56394,5,1,0,353,62,Yes,2,Both,Engaging,8,2,6,4,CTA in creative,Positive,International Politics,0,Professional,1,0,0,Grey
396,Heschsoft,17/05/2019,video,NO_CTA,video,86,56394,5,1,0,353,62,Yes,2,Both,Informing,2,1,7,8,no CTA at all,Positive,International Politics,0,Professional,0,0,0,Grey
397,NY Climate Collective,15/08/2019,link,NO_CTA,share,222.76,56343,23,3,1,0,0,No,0,No person,Informing,3,1,4,8,CTA in text,Positive,Education,0,Professional,1,0,0,Green
398,NY Climate Collective,24/04/2019,photo,NO_CTA,photo,183.39,56038,570,68,102,0,0,No,0,No person,Persuading,1,2,6,5,CTA in text,Positive,Finance,0,Professional,0,0,0,Magenta
399,Ted Hansen Campaign,23/04/2019,photo,NO_CTA,photo,173.72,55963,202,52,18,0,0,No,0,No person,Informing,1,1,5,7,no CTA at all,Positive,Economy,1,Professional,0,0,0,Yellow
400,Great Rants,09/05/2019,photo,NO_CTA,photo,93.78,55957,8,0,1,0,0,Yes,3,Both,Engaging,6,2,3,4,CTA in text,Positive,No topic,1,User generated,1,0,0,Blue
401,Spartan Consulting,23/07/2019,photo,NO_CTA,photo,148.65,55930,479,174,23,0,0,Yes,1,Man,Informing,3,1,3,7,no CTA at all,Neutral,International Politics,0,Professional,0,0,0,Blue
